"","Month","Year","Start.Date","Trade.Type","Trades","X..of.Total","Par.Value","X..of.Total.1"
"57","November","2002",2002-11-01,"Other Bond Trades",383457,0.717297123381458,60649996152,0.558498547835637
"58","November","2002",2002-11-01,"New Issue Trades",151129,0.282702876618542,47944728735,0.441501452164363
"59","October","2002",2002-10-01,"Other Bond Trades",452684,0.734652411277078,68767430586,0.581653791555915
"60","October","2002",2002-10-01,"New Issue Trades",163504,0.265347588722922,49459995392,0.418346208444085
"61","September","2002",2002-09-01,"Other Bond Trades",391016,0.757396908165024,67196745978,0.642254980769537
"62","September","2002",2002-09-01,"New Issue Trades",125247,0.242603091834976,37429528617,0.357745019230463
"63","January","2003",2003-01-01,"Other Bond Trades",481812,0.762967995097364,73937686602,0.686864273788249
"64","January","2003",2003-01-01,"New Issue Trades",149685,0.237032004902636,33707578152,0.313135726211751
"65","April","2003",2003-04-01,"Other Bond Trades",408626,0.71170104188075,61257131733,0.570780446045183
"66","April","2003",2003-04-01,"New Issue Trades",165528,0.28829895811925,46064575164,0.429219553954817
"67","August","2003",2003-08-01,"Other Bond Trades",502226,0.746089989660459,76965057048,0.652485175082004
"68","August","2003",2003-08-01,"New Issue Trades",170918,0.253910010339541,40991733370,0.347514824917996
"69","December","2003",2003-12-01,"Other Bond Trades",413538,0.745579668729819,67085586476,0.664286206016735
"70","December","2003",2003-12-01,"New Issue Trades",141115,0.254420331270182,33903393678,0.335713793983265
"71","July","2003",2003-07-01,"Other Bond Trades",472269,0.708351082019931,73476292881,0.603448335186034
"72","July","2003",2003-07-01,"New Issue Trades",194447,0.291648917980069,48284409066,0.396551664813966
"73","June","2003",2003-06-01,"Other Bond Trades",406379,0.691221845371942,59728021918,0.469150030299351
"74","June","2003",2003-06-01,"New Issue Trades",181535,0.308778154628058,67583111111,0.530849969700649
"75","February","2003",2003-02-01,"Other Bond Trades",409883,0.734413886893062,63362277488,0.619038862280341
"76","February","2003",2003-02-01,"New Issue Trades",148226,0.265586113106938,38993618642,0.380961137719659
"77","March","2003",2003-03-01,"Other Bond Trades",429156,0.728124750805482,66117827826,0.61581265804144
"78","March","2003",2003-03-01,"New Issue Trades",160243,0.271875249194518,41248961347,0.38418734195856
"79","May","2003",2003-05-01,"Other Bond Trades",409809,0.695758985416207,64015847311,0.551216179877393
"80","May","2003",2003-05-01,"New Issue Trades",179201,0.304241014583793,52119799007,0.448783820122607
"81","November","2003",2003-11-01,"Other Bond Trades",361744,0.747752570926567,58458837095,0.646741714120072
"82","November","2003",2003-11-01,"New Issue Trades",122031,0.252247429073433,31930936471,0.353258285879928
"83","October","2003",2003-10-01,"Other Bond Trades",437085,0.714788001092415,68744537354,0.607552618959457
"84","October","2003",2003-10-01,"New Issue Trades",174404,0.285211998907585,44405394370,0.392447381040543
"85","September","2003",2003-09-01,"Other Bond Trades",482140,0.779407628217356,86822514651,0.703075585668265
"86","September","2003",2003-09-01,"New Issue Trades",136458,0.220592371782644,36667073696,0.296924414331735
"87","April","2004",2004-04-01,"Other Bond Trades",445562,0.774705852692489,69507899600,0.62622066521928
"88","April","2004",2004-04-01,"New Issue Trades",129575,0.225294147307511,41487957708,0.37377933478072
"89","August","2004",2004-08-01,"Other Bond Trades",405701,0.766943801702887,62531891884,0.653774023779403
"90","August","2004",2004-08-01,"New Issue Trades",123283,0.233056198297113,33115670744,0.346225976220597
"91","December","2004",2004-12-01,"Other Bond Trades",387576,0.776593357271095,65516029180,0.635307551560051
"92","December","2004",2004-12-01,"New Issue Trades",111496,0.223406642728905,37608873112,0.364692448439949
"93","February","2004",2004-02-01,"Other Bond Trades",375075,0.744202334939166,60826887855,0.616892300255431
"94","February","2004",2004-02-01,"New Issue Trades",128921,0.255797665060834,37775230910,0.383107699744569
"95","January","2004",2004-01-01,"Other Bond Trades",427274,0.814983796609782,74019198395,0.720140526396997
"96","January","2004",2004-01-01,"New Issue Trades",96999,0.185016203390218,28765182822,0.279859473603003
"97","July","2004",2004-07-01,"Other Bond Trades",416089,0.783719081737977,70115623877,0.705721281978349
"98","July","2004",2004-07-01,"New Issue Trades",114827,0.216280918262023,29237514065,0.294278718021651
"99","June","2004",2004-06-01,"Other Bond Trades",508396,0.790855621045885,75278825845,0.685046922687817
"100","June","2004",2004-06-01,"New Issue Trades",134447,0.209144378954115,34609742882,0.314953077312183
"101","September","2004",2004-09-01,"Other Bond Trades",367164,0.78203361455509,66718412759,0.68607894049876
"102","September","2004",2004-09-01,"New Issue Trades",102335,0.21796638544491,30527558252,0.31392105950124
"103","March","2004",2004-03-01,"Other Bond Trades",428275,0.754343939620781,68203058141,0.58331278367145
"104","March","2004",2004-03-01,"New Issue Trades",139470,0.24565606037922,48720589086,0.41668721632855
"105","May","2004",2004-05-01,"Other Bond Trades",523613,0.800720875571738,81212660710,0.655735707058592
"106","May","2004",2004-05-01,"New Issue Trades",130314,0.199279124428262,42637024210,0.344264292941408
"107","November","2004",2004-11-01,"Other Bond Trades",348357,0.733571569961127,52968687307,0.620481097073516
"108","November","2004",2004-11-01,"New Issue Trades",126521,0.266428430038873,32398437585,0.379518902926484
"109","October","2004",2004-10-01,"Other Bond Trades",337301,0.744053435804901,56457533183,0.576749379658066
"110","October","2004",2004-10-01,"New Issue Trades",116028,0.255946564195099,41431663016,0.423250620341934
"111","April","2005",2005-04-01,"Other Bond Trades",392360,0.767635504218121,63718767862,0.588786794535458
"112","April","2005",2005-04-01,"New Issue Trades",118768,0.232364495781879,44501675350,0.411213205464542
"113","August","2005",2005-08-01,"Other Bond Trades",389418,0.737007856133026,64538990399,0.560877701949004
"114","August","2005",2005-08-01,"New Issue Trades",138959,0.262992143866974,50528858037,0.439122298050996
"115","December","2005",2005-12-01,"Other Bond Trades",449386,0.820865314711373,82579992043,0.681730934157175
"116","December","2005",2005-12-01,"New Issue Trades",98068,0.179134685288627,38552830168,0.318269065842825
"117","February","2005",2005-02-01,"Other Bond Trades",343839,0.77296372563125,59775378437,0.641025252736001
"118","February","2005",2005-02-01,"New Issue Trades",100993,0.22703627436875,33474268409,0.358974747263999
"119","January","2005",2005-01-01,"Other Bond Trades",379432,0.803532364121515,69226643386,0.699558343118807
"120","January","2005",2005-01-01,"New Issue Trades",92773,0.196467635878485,29730997627,0.300441656881193
"121","July","2005",2005-07-01,"Other Bond Trades",323446,0.710336406481282,61733697579,0.58955091373107
"122","July","2005",2005-07-01,"New Issue Trades",131896,0.289663593518718,42979391895,0.41044908626893
"123","June","2005",2005-06-01,"Other Bond Trades",378711,0.714186573229813,68537287651,0.536239196955844
"124","June","2005",2005-06-01,"New Issue Trades",151558,0.285813426770186,59273748991,0.463760803044156
"125","March","2005",2005-03-01,"Other Bond Trades",405998,0.730108491779046,69716033129,0.560715305314266
"126","March","2005",2005-03-01,"New Issue Trades",150081,0.269891508220954,54618067382,0.439284694685734
"127","May","2005",2005-05-01,"Other Bond Trades",369615,0.74849790101031,61937538262,0.578928955841761
"128","May","2005",2005-05-01,"New Issue Trades",124194,0.25150209898969,45048884920,0.421071044158239
"129","November","2005",2005-11-01,"Other Bond Trades",420907,0.806605662817995,78769710602,0.66548288096305
"130","November","2005",2005-11-01,"New Issue Trades",100918,0.193394337182005,39595033038,0.33451711903695
"131","October","2005",2005-10-01,"Other Bond Trades",357748,0.774302744867172,66907215660,0.653914495271091
"132","October","2005",2005-10-01,"New Issue Trades",104278,0.225697255132828,35410772615,0.346085504728909
"133","September","2005",2005-09-01,"Other Bond Trades",358359,0.766279420349356,69104585769,0.62298504629035
"134","September","2005",2005-09-01,"New Issue Trades",109302,0.233720579650644,41820365288,0.37701495370965
"135","April","2006",2006-04-01,"Other Bond Trades",426564,0.827195423474087,75928944503,0.676389992289875
"136","April","2006",2006-04-01,"New Issue Trades",89111,0.172804576525913,36327217428,0.323610007710125
"137","August","2006",2006-08-01,"Other Bond Trades",461314,0.799320087397532,96363466757,0.675889956740369
"138","August","2006",2006-08-01,"New Issue Trades",115819,0.200679912602468,46209249106,0.324110043259631
"139","December","2006",2006-12-01,"Other Bond Trades",366930,0.787558917211123,55580199904,0.507099119983341
"140","December","2006",2006-12-01,"New Issue Trades",98978,0.212441082788877,54024012988,0.492900880016659
"141","February","2006",2006-02-01,"Other Bond Trades",389895,0.787757378122329,79417524686,0.707345669547641
"142","February","2006",2006-02-01,"New Issue Trades",105048,0.212242621877671,32857884785,0.292654330452359
"143","January","2006",2006-01-01,"Other Bond Trades",436391,0.83811263283034,88798891583,0.760979453184182
"144","January","2006",2006-01-01,"New Issue Trades",84292,0.16188736716966,27891370173,0.239020546815818
"145","July","2006",2006-07-01,"Other Bond Trades",418255,0.795721324886327,78417234455,0.671451802118949
"146","July","2006",2006-07-01,"New Issue Trades",107375,0.204278675113673,38370350607,0.328548197881051
"147","June","2006",2006-06-01,"Other Bond Trades",462730,0.782049353630032,93979587441,0.653248722812061
"148","June","2006",2006-06-01,"New Issue Trades",128959,0.217950646369968,49885351225,0.346751277187939
"149","March","2006",2006-03-01,"Other Bond Trades",461871,0.797648180353377,95433900294,0.711156988491803
"150","March","2006",2006-03-01,"New Issue Trades",117170,0.202351819646623,38761364378,0.288843011508197
"151","May","2006",2006-05-01,"Other Bond Trades",497445,0.834245934383286,91950749281,0.647754575028311
"152","May","2006",2006-05-01,"New Issue Trades",98836,0.165754065616714,50002318788,0.352245424971689
"153","November","2006",2006-11-01,"Other Bond Trades",383272,0.795769428013213,74964593330,0.59058254509753
"154","November","2006",2006-11-01,"New Issue Trades",98365,0.204230571986787,51968709986,0.40941745490247
"155","October","2006",2006-10-01,"Other Bond Trades",393404,0.786457240070928,76811712390,0.623858988454285
"156","October","2006",2006-10-01,"New Issue Trades",106819,0.213542759929072,46311804000,0.376141011545715
"157","September","2006",2006-09-01,"Other Bond Trades",389973,0.812714654884962,80538516511,0.677155658233528
"158","September","2006",2006-09-01,"New Issue Trades",89867,0.187285345115038,38397972510,0.322844341766472
"159","April","2007",2007-04-01,"Other Bond Trades",434710,0.81031860241431,84032409144,0.655894942884968
"160","April","2007",2007-04-01,"New Issue Trades",101758,0.18968139758569,44086293486,0.344105057115032
"161","August","2007",2007-08-01,"Other Bond Trades",572494,0.846912177615248,146198307714,0.760069744594539
"162","August","2007",2007-08-01,"New Issue Trades",103484,0.153087822384752,46150234974,0.239930255405461
"163","December","2007",2007-12-01,"Other Bond Trades",441064,0.835025861220286,83182557969,0.718165261672873
"164","December","2007",2007-12-01,"New Issue Trades",87140,0.164974138779714,32643927115,0.281834738327127
"165","February","2007",2007-02-01,"Other Bond Trades",377916,0.802713690372516,80895490354,0.63102177019926
"166","February","2007",2007-02-01,"New Issue Trades",92882,0.197286309627484,47302131621,0.36897822980074
"167","January","2007",2007-01-01,"Other Bond Trades",440851,0.808395114249616,80497741908,0.604356645588834
"168","January","2007",2007-01-01,"New Issue Trades",104490,0.191604885750384,52698016748,0.395643354411166
"169","July","2007",2007-07-01,"Other Bond Trades",472497,0.838983411994076,95450733227,0.626049418369731
"170","July","2007",2007-07-01,"New Issue Trades",90681,0.161016588005924,57014440330,0.373950581630269
"171","June","2007",2007-06-01,"Other Bond Trades",523877,0.795093847655213,131115536439,0.684615390011088
"172","June","2007",2007-06-01,"New Issue Trades",135010,0.204906152344787,60401537749,0.315384609988912
"173","March","2007",2007-03-01,"Other Bond Trades",413140,0.786404569879681,83770532738,0.56246478752784
"174","March","2007",2007-03-01,"New Issue Trades",112213,0.213595430120319,65164182102,0.43753521247216
"175","May","2007",2007-05-01,"Other Bond Trades",462308,0.79940931538685,88308103519,0.638555774593063
"176","May","2007",2007-05-01,"New Issue Trades",116004,0.20059068461315,49985381612,0.361444225406937
"177","November","2007",2007-11-01,"Other Bond Trades",456523,0.822070721531045,95965245411,0.7360224055175
"178","November","2007",2007-11-01,"New Issue Trades",98810,0.177929278468955,34418347115,0.2639775944825
"179","October","2007",2007-10-01,"Other Bond Trades",468694,0.826019143022807,89709080396,0.611712016426039
"180","October","2007",2007-10-01,"New Issue Trades",98719,0.173980856977193,56943393296,0.388287983573961
"181","September","2007",2007-09-01,"Other Bond Trades",445529,0.865895088721746,96802100248,0.752778691102373
"182","September","2007",2007-09-01,"New Issue Trades",69001,0.134104911278254,31790939635,0.247221308897627
"183","April","2008",2008-04-01,"Other Bond Trades",647129,0.83196606975037,133944560851,0.676859134183106
"184","April","2008",2008-04-01,"New Issue Trades",130702,0.16803393024963,63946778848,0.323140865816894
"185","August","2008",2008-08-01,"Other Bond Trades",538140,0.780244364635998,89601735241,0.680161340323857
"186","August","2008",2008-08-01,"New Issue Trades",151567,0.219755635364002,42134266100,0.319838659676143
"187","December","2008",2008-12-01,"Other Bond Trades",766951,0.858524676045743,126219250867,0.844328607570553
"188","December","2008",2008-12-01,"New Issue Trades",126385,0.141475323954257,23271421053,0.155671392429447
"189","February","2008",2008-02-01,"Other Bond Trades",569385,0.859067824995398,145544523268,0.841517660140061
"190","February","2008",2008-02-01,"New Issue Trades",93409,0.140932175004602,27410282272,0.158482339859939
"191","January","2008",2008-01-01,"Other Bond Trades",550892,0.881259408208677,130075662533,0.811577502409783
"192","January","2008",2008-01-01,"New Issue Trades",74227,0.118740591791323,30199433988,0.188422497590218
"193","July","2008",2008-07-01,"Other Bond Trades",578501,0.784397499694919,106073774617,0.672930235030571
"194","July","2008",2008-07-01,"New Issue Trades",159009,0.215602500305081,51555900935,0.327069764969429
"195","June","2008",2008-06-01,"Other Bond Trades",569474,0.751885079780035,117448727635,0.686661404805383
"196","June","2008",2008-06-01,"New Issue Trades",187921,0.248114920219964,53594419414,0.313338595194617
"197","March","2008",2008-03-01,"Other Bond Trades",756233,0.865254158748102,200109021978,0.788342099004521
"198","March","2008",2008-03-01,"New Issue Trades",117768,0.134745841251898,53726238413,0.211657900995479
"199","May","2008",2008-05-01,"Other Bond Trades",562572,0.798713136120213,112447752550,0.691266929652346
"200","May","2008",2008-05-01,"New Issue Trades",141776,0.201286863879787,50221323210,0.308733070347654
"201","November","2008",2008-11-01,"Other Bond Trades",606350,0.826899919676086,97532977504,0.761791522265657
"202","November","2008",2008-11-01,"New Issue Trades",126931,0.173100080323914,30498084346,0.238208477734343
"203","October","2008",2008-10-01,"Other Bond Trades",929335,0.902225820763519,184662915783,0.880313937770692
"204","October","2008",2008-10-01,"New Issue Trades",100712,0.0977741792364814,25106472000,0.119686062229308
"205","September","2008",2008-09-01,"Other Bond Trades",612886,0.818005883263663,140994200577,0.829147122658919
"206","September","2008",2008-09-01,"New Issue Trades",136358,0.181994116736337,29053064527,0.170852877341081
"207","April","2009",2009-04-01,"Other Bond Trades",628795,0.790935117144359,94284232705,0.617879780019678
"208","April","2009",2009-04-01,"New Issue Trades",166207,0.209064882855641,58308934694,0.382120219980322
"209","August","2009",2009-08-01,"Other Bond Trades",635963,0.774917294698941,91862385555,0.620940568645792
"210","August","2009",2009-08-01,"New Issue Trades",184722,0.225082705301059,56078319552,0.379059431354208
"211","December","2009",2009-12-01,"Other Bond Trades",614318,0.77411070605447,85843265656,0.625892935171715
"212","December","2009",2009-12-01,"New Issue Trades",179261,0.22588929394553,51310009021,0.374107064828285
"213","February","2009",2009-02-01,"Other Bond Trades",605755,0.834569850474423,94456005799,0.748884733308621
"214","February","2009",2009-02-01,"New Issue Trades",120074,0.165430149525577,31672891744,0.251115266691379
"215","January","2009",2009-01-01,"Other Bond Trades",706825,0.860526158802124,115991350630,0.775090911707296
"216","January","2009",2009-01-01,"New Issue Trades",114562,0.139473841197876,33657353642,0.224909088292704
"217","July","2009",2009-07-01,"Other Bond Trades",687540,0.791841341502741,103367037589,0.700267562527931
"218","July","2009",2009-07-01,"New Issue Trades",180740,0.208158658497259,44243737378,0.299732437472069
"219","June","2009",2009-06-01,"Other Bond Trades",713868,0.761859023615593,99868911548,0.618519737621824
"220","June","2009",2009-06-01,"New Issue Trades",223140,0.238140976384407,61595477498,0.381480262378176
"221","March","2009",2009-03-01,"Other Bond Trades",684389,0.762447625445483,94687000580,0.630551722543299
"222","March","2009",2009-03-01,"New Issue Trades",213232,0.237552374554517,55478318449,0.369448277456701
"223","May","2009",2009-05-01,"Other Bond Trades",577806,0.779631561122453,95829152465,0.670418529400449
"224","May","2009",2009-05-01,"New Issue Trades",163321,0.220368438877547,47110143307,0.329581470599551
"225","November","2009",2009-11-01,"Other Bond Trades",576253,0.744470598570624,76118826286,0.576601669105346
"226","November","2009",2009-11-01,"New Issue Trades",197791,0.255529401429376,55894017874,0.423398330894653
"227","October","2009",2009-10-01,"Other Bond Trades",623998,0.750039064659825,80853779062,0.537236308762718
"228","October","2009",2009-10-01,"New Issue Trades",207956,0.249960935340175,69645689688,0.462763691237282
"229","September","2009",2009-09-01,"Other Bond Trades",643757,0.824000522234652,108445143769,0.717769552345689
"230","September","2009",2009-09-01,"New Issue Trades",137501,0.175999477765348,42641153239,0.282230447654311
"231","August","2010",2010-08-01,"Other Bond Trades",674579,0.794327903019741,100434907861,0.66306380839397
"232","August","2010",2010-08-01,"New Issue Trades",174666,0.205672096980259,51036046502,0.33693619160603
"233","December","2010",2010-12-01,"Other Bond Trades",803130,0.813126578151798,108900777165,0.670468165309309
"234","December","2010",2010-12-01,"New Issue Trades",184576,0.186873421848202,53524201081,0.329531834690691
"235","July","2010",2010-07-01,"Other Bond Trades",649139,0.777139279270867,87075778991,0.642903142589222
"236","July","2010",2010-07-01,"New Issue Trades",186154,0.222860720729133,48365741236,0.357096857410778
"237","November","2010",2010-11-01,"Other Bond Trades",679209,0.783110540260711,95189859766,0.612663508763402
"238","November","2010",2010-11-01,"New Issue Trades",188113,0.216889459739289,60180679534,0.387336491236598
"239","October","2010",2010-10-01,"Other Bond Trades",594365,0.774731877975151,77646829703,0.53363619349306
"240","October","2010",2010-10-01,"New Issue Trades",172823,0.225268122024849,67858349012,0.46636380650694
"241","September","2010",2010-09-01,"Other Bond Trades",636821,0.825713755953099,92349466074,0.664616606109502
"242","September","2010",2010-09-01,"New Issue Trades",134416,0.174286244046901,46602021483,0.335383393890498
"243","April","2010",2010-04-01,"Other Bond Trades",656076,0.810594828608706,95836094299,0.664922169909717
"244","April","2010",2010-04-01,"New Issue Trades",153300,0.189405171391294,48295202018,0.335077830090283
"245","February","2010",2010-02-01,"Other Bond Trades",615933,0.806605719404252,81681860425,0.667493471482823
"246","February","2010",2010-02-01,"New Issue Trades",147678,0.193394280595748,40689164783,0.332506528517177
"247","January","2010",2010-01-01,"Other Bond Trades",634238,0.816707636956446,88889362750,0.639611380997406
"248","January","2010",2010-01-01,"New Issue Trades",142341,0.183292363043554,50084653959,0.360388619002595
"249","June","2010",2010-06-01,"Other Bond Trades",706929,0.771443256668689,87526881643,0.628437200588879
"250","June","2010",2010-06-01,"New Issue Trades",209443,0.228556743331311,51750171913,0.371562799411121
"251","March","2010",2010-03-01,"Other Bond Trades",724854,0.807909522657789,98936150396,0.613646645636802
"252","March","2010",2010-03-01,"New Issue Trades",172343,0.192090477342211,62290430242,0.386353354363198
"253","May","2010",2010-05-01,"Other Bond Trades",626963,0.801606632120113,89177992204,0.631993938155476
"254","May","2010",2010-05-01,"New Issue Trades",155170,0.198393367879887,51927779260,0.368006061844524
"255","April","2011",2011-04-01,"Other Bond Trades",697200,0.881740311543185,97112200768,0.807754461346111
"256","April","2011",2011-04-01,"New Issue Trades",93509,0.118259688456815,23112701000,0.192245538653889
"257","August","2011",2011-08-01,"Other Bond Trades",753134,0.884719166326978,107302986943,0.769060293983759
"258","August","2011",2011-08-01,"New Issue Trades",98135,0.115280833673022,32221817266,0.230939706016241
"259","December","2011",2011-12-01,"Other Bond Trades",608859,0.79363769674455,85002924264,0.655156666430284
"260","December","2011",2011-12-01,"New Issue Trades",158316,0.20636230325545,44741499657,0.344843333569716
"261","February","2011",2011-02-01,"Other Bond Trades",811818,0.916223500306981,121998933009,0.834180228763382
"262","February","2011",2011-02-01,"New Issue Trades",74230,0.0837764996930189,24251156363,0.165819771236618
"263","January","2011",2011-01-01,"Other Bond Trades",932793,0.926894245024663,135842442928,0.864281830912226
"264","January","2011",2011-01-01,"New Issue Trades",73571,0.073105754975337,21331337741,0.135718169087774
"265","July","2011",2011-07-01,"Other Bond Trades",550892,0.881259408208677,130075662533,0.811577502409783
"266","July","2011",2011-07-01,"New Issue Trades",74227,0.118740591791323,30199433988,0.188422497590218
"267","June","2011",2011-06-01,"Other Bond Trades",733228,0.849354262884335,101762410207,0.718327956569428
"268","June","2011",2011-06-01,"New Issue Trades",130049,0.150645737115665,39903258345,0.281672043430572
"269","March","2011",2011-03-01,"Other Bond Trades",850063,0.886206950475128,114576436037,0.810600076404065
"270","March","2011",2011-03-01,"New Issue Trades",109152,0.113793049524872,26771238818,0.189399923595935
"271","May","2011",2011-05-01,"Other Bond Trades",737580,0.883545201462393,105672511668,0.784844249888129
"272","May","2011",2011-05-01,"New Issue Trades",97216,0.116454798537607,28968866775,0.215155750111871
"273","November","2011",2011-11-01,"Other Bond Trades",616994,0.781497703615697,88820880799,0.625046147189563
"274","November","2011",2011-11-01,"New Issue Trades",172508,0.218502296384303,53282036239,0.374953852810437
"275","October","2011",2011-10-01,"Other Bond Trades",611954,0.79503145936915,81996378732,0.608174568808284
"276","October","2011",2011-10-01,"New Issue Trades",157769,0.20496854063085,52827375725,0.391825431191715
"277","September","2011",2011-09-01,"Other Bond Trades",643863,0.855464779637732,93940401133,0.721372803602252
"278","September","2011",2011-09-01,"New Issue Trades",108784,0.144535220362268,36284082884,0.278627196397748
"279","April","2012",2012-04-01,"Other Bond Trades",607005,0.807548319461887,81037169229,0.606652742881571
"280","April","2012",2012-04-01,"New Issue Trades",144659,0.192451680538113,52543648100,0.393347257118429
"281","August","2012",2012-08-01,"Other Bond Trades",669061,0.820560211241263,91538014777,0.655007565198698
"282","August","2012",2012-08-01,"New Issue Trades",146310,0.179439788758737,48213065425,0.344992434801302
"283","December","2012",2012-12-01,"Other Bond Trades",728892,0.880686191235089,100557925369,0.731134876178697
"284","December","2012",2012-12-01,"New Issue Trades",98749,0.119313808764911,36978839249,0.268865123821303
"285","February","2012",2012-02-01,"Other Bond Trades",633843,0.854047083932931,88666257054,0.68562670675521
"286","February","2012",2012-02-01,"New Issue Trades",108321,0.145952916067069,40655218000,0.31437329324479
