"","Month","Year","Start.Date","Report.Type","Security.Type","Number.of.CUSIPs","PCT.of.CUSIPs","Trade.Count","PCT.of.Trade.Count","Par.Traded","PCT.of.Par.Traded","Avg.Trade.Size"
"41","July","2000",2000-07-01,"Total Customer and Interdealer","CP",657,0.00750214102198116,975,0.0019639163109796,8344779000,0.0398823142008632,8558747.69230769
"37","July","2000",2000-07-01,"Total Customer and Interdealer","Long Note",1050,0.0119897230944904,4655,0.00937644146421543,6206053116,0.0296606728973359,1333201.52867884
"39","July","2000",2000-07-01,"Total Customer and Interdealer","Long Variable",130,0.00148444190693691,819,0.00164968970122287,349510454,0.00167042000068718,426752.691086691
"42","July","2000",2000-07-01,"Total Customer and Interdealer","Other",514,0.00586925492435056,1538,0.0030979520884991,4200161668,0.0200738889954542,2730924.36150845
"38","July","2000",2000-07-01,"Total Customer and Interdealer","Short Note",137,0.00156437339423351,373,0.000751323881020914,727544136,0.00347716144752875,1950520.47184987
"40","July","2000",2000-07-01,"Total Customer and Interdealer","Short Variable",4326,0.0493976591493006,29223,0.0588631039546225,110157930646,0.52647927545363,3769562.69534271
"43","July","2000",2000-07-01,"Interdealer Only","Bond",34110,0.981328576771484,99593,0.987095495316914,24888545000,0.959883250701028,249902.553392307
"48","July","2000",2000-07-01,"Interdealer Only","CP",0,0,0,0,0,0,NA
"44","July","2000",2000-07-01,"Interdealer Only","Long Note",333,0.00958025259644984,717,0.00710639774022499,601333000,0.023191772552144,838679.218967922
"46","July","2000",2000-07-01,"Interdealer Only","Long Variable",50,0.00143847636583331,131,0.00129837950344417,62045000,0.00239290630648538,473625.954198473
"49","July","2000",2000-07-01,"Interdealer Only","Other",34,0.00097816392876665,81,0.000802814807473116,39417000,0.00152020610657965,486629.62962963
"45","July","2000",2000-07-01,"Interdealer Only","Short Note",35,0.00100693345608332,52,0.000515387283809901,16140000,0.000622475748032462,310384.615384615
"47","July","2000",2000-07-01,"Interdealer Only","Short Variable",197,0.00566759688138324,321,0.0031815253481342,321241000,0.0123893885857309,1000750.7788162
"50","July","2000",2000-07-01,"Customer Only Buy and Sell","Bond",80055,0.921857187273293,359281,0.908279865103321,54360550905,0.296555737109046,151303.71743844
"55","July","2000",2000-07-01,"Customer Only Buy and Sell","CP",657,0.00756555083428335,975,0.00246484748282191,8344779000,0.0455236756463678,8558747.69230769
"51","July","2000",2000-07-01,"Customer Only Buy and Sell","Long Note",1031,0.0118722723137688,3938,0.00995545578190018,5604720116,0.0305757001652718,1423240.25292026
"53","July","2000",2000-07-01,"Customer Only Buy and Sell","Long Variable",129,0.00148547345148029,688,0.00173929750582715,287465454,0.00156822416596436,417827.694767442
"56","July","2000",2000-07-01,"Customer Only Buy and Sell","Other",512,0.0058958326136272,1457,0.00368336695638105,4160744668,0.0226983112091268,2855692.97735072
"52","July","2000",2000-07-01,"Customer Only Buy and Sell","Short Note",135,0.00155456523992124,321,0.000811503632805982,711404136,0.00388095731963046,2216212.26168224
"54","July","2000",2000-07-01,"Customer Only Buy and Sell","Short Variable",4322,0.0497691182736265,28902,0.0730656635369424,109836689646,0.599197394384593,3800314.49885821
"57","July","2000",2000-07-01,"Customer Bought Only","Bond",73149,0.923190509244652,262302,0.9256095108034,31755285738,0.30105417445102,121063.833817508
"62","July","2000",2000-07-01,"Customer Bought Only","CP",643,0.00811510064996529,802,0.00283009213679014,6877253000,0.0651994046436252,8575128.42892768
"58","July","2000",2000-07-01,"Customer Bought Only","Long Note",978,0.0123430302265413,3403,0.012008483218824,4201702474,0.0398340005514479,1234705.39935351
"60","July","2000",2000-07-01,"Customer Bought Only","Long Variable",119,0.00150186155108222,527,0.00185967401008529,218707727,0.00207344612614375,415005.174573055
